Date,Open,High,Low,Close,Volume
2020-07-02,1451.84,1488.5200,1451.0650,1469.93,2860915
2020-07-01,1419.17,1448.4800,1414.1800,1442.00,2109124
2020-06-30,1396.88,1424.0000,1386.9301,1418.05,2014320
2020-06-29,1360.34,1398.0000,1351.6500,1397.17,2253678
2020-06-26,1432.63,1437.0200,1355.0000,1362.54,4882014
2020-06-25,1431.22,1442.3200,1419.5401,1441.10,1197907
2020-06-24,1463.28,1475.7900,1430.0000,1432.70,1579579
2020-06-23,1452.00,1475.2000,1445.0000,1463.98,1887583
2020-06-22,1425.01,1450.9500,1419.1900,1450.66,1472072
2020-06-19,1440.00,1444.5000,1419.0000,1424.64,2639167
2020-06-18,1449.85,1452.9699,1426.2350,1434.12,1743071
2020-06-17,1452.94,1462.2000,1435.1250,1452.54,1530500
2020-06-16,1449.00,1457.1700,1428.9900,1446.47,1534826
2020-06-15,1389.49,1425.0000,1387.1952,1420.74,1527652
2020-06-12,1425.86,1434.5050,1385.8000,1412.92,1833756
2020-06-11,1441.03,1451.6033,1398.4100,1401.90,2357243
2020-06-10,1461.51,1472.7700,1454.3550,1464.70,1588116
2020-06-09,1445.24,1467.8000,1442.3600,1452.08,1681155
2020-06-08,1426.28,1449.0000,1424.4800,1448.04,1693881
2020-06-05,1415.64,1446.3000,1407.6213,1440.02,2132350
2020-06-04,1436.78,1441.3200,1406.0100,1414.30,1349105
2020-06-03,1442.70,1449.0100,1431.6200,1439.25,1386640
2020-06-02,1435.00,1443.0000,1421.6100,1442.31,1172069
2020-06-01,1425.70,1441.5800,1422.2800,1434.87,1259254
2020-05-29,1420.43,1436.7300,1415.9800,1433.52,1852522
2020-05-28,1400.00,1444.4600,1399.0760,1418.24,1759787
2020-05-27,1420.00,1425.3450,1394.6000,1420.28,1584185
2020-05-26,1441.96,1445.1100,1419.3950,1421.37,2229488
2020-05-22,1403.90,1417.0000,1395.9500,1413.24,1427206
2020-05-21,1410.99,1416.4600,1394.3900,1406.75,1544976
